scenario_id,scenario_type,asset_type,threat_category,vulnerability_score,asset_importance,exposure_level,security_maturity,control_effectiveness,threat_intensity,incident_likelihood,data_sensitivity,estimated_financial_impact,risk_score,risk_level,response_priority
RISK-0077,Credential Compromise,VPN Server,Data Exfiltration,7.71,6,4,2,9,4,0.36,9,3147856,100.0,High,1순위
RISK-0078,Data Leakage,Endpoint PC,Vulnerability Exploitation,0.74,6,10,4,8,2,0.25,3,1653646,78.01,High,1순위
RISK-0079,External Attack,Cloud Service,DDoS,3.58,10,6,9,5,3,0.63,8,2839018,100.0,High,1순위
RISK-0080,Credential Compromise,Cloud Service,C2 Communication,1.16,7,7,7,6,3,0.46,2,2210763,75.96,High,1순위
RISK-0081,Service Disruption,File Server,Brute Force,8.63,7,3,2,7,7,0.41,4,2203362,100.0,High,1순위
RISK-0082,External Attack,Cloud Service,Vulnerability Exploitation,6.23,6,3,8,4,8,0.58,1,1571664,100.0,High,1순위
RISK-0083,Credential Compromise,Endpoint PC,DDoS,3.31,4,10,7,6,6,0.49,5,2398788,100.0,High,1순위
RISK-0084,Service Disruption,Database Server,Brute Force,0.64,9,8,9,7,4,0.32,2,2089101,80.86,High,1순위
RISK-0085,Data Leakage,Endpoint PC,Data Exfiltration,3.11,6,5,8,6,6,0.55,1,1322098,72.47,High,1순위
RISK-0086,Insider Threat,File Server,DDoS,3.25,4,4,3,6,1,0.65,1,1476558,64.62,Medium,2순위
RISK-0087,Credential Compromise,Endpoint PC,Vulnerability Exploitation,7.3,3,7,1,2,10,0.07,2,1113529,100.0,High,1순위
RISK-0088,Credential Compromise,Web Server,C2 Communication,6.38,4,7,2,5,8,0.47,5,2002421,100.0,High,1순위
RISK-0089,External Attack,File Server,DDoS,8.87,3,9,2,3,1,0.1,9,1811165,100.0,High,1순위
RISK-0090,Insider Threat,VPN Server,Vulnerability Exploitation,4.72,2,9,4,7,5,0.22,6,1499107,94.9,High,1순위
RISK-0091,Data Leakage,Endpoint PC,Brute Force,1.2,5,5,6,4,2,0.55,4,1506311,65.55,Medium,2순위
RISK-0092,External Attack,Cloud Service,Data Exfiltration,7.13,2,8,4,1,6,0.83,3,2343850,100.0,High,1순위
RISK-0093,Malware Infection,Database Server,DDoS,7.61,6,10,9,6,9,0.84,8,2895114,100.0,High,1순위
RISK-0094,Malware Infection,Endpoint PC,Brute Force,5.61,3,1,4,6,5,0.11,3,1786455,64.0,Medium,2순위
RISK-0095,Malware Infection,Database Server,Brute Force,7.71,6,9,6,7,4,0.43,1,1947951,100.0,High,1순위
RISK-0096,Data Leakage,Web Server,Phishing,4.94,10,8,6,8,2,0.57,4,1756467,100.0,High,1순위
RISK-0097,Malware Infection,VPN Server,Brute Force,5.23,9,6,10,3,3,0.18,5,2330634,100.0,High,1순위
RISK-0098,Credential Compromise,Cloud Service,DDoS,4.28,1,3,10,6,6,0.74,5,1486503,57.31,Medium,2순위
RISK-0099,External Attack,File Server,Data Exfiltration,0.25,6,3,1,10,8,0.72,5,2144107,81.89,High,1순위
RISK-0100,Credential Compromise,File Server,C2 Communication,1.08,9,8,8,2,8,0.86,8,3436713,100.0,High,1순위
RISK-0101,Malware Infection,VPN Server,Phishing,0.31,4,5,3,9,5,0.06,8,1557390,60.6,Medium,2순위
RISK-0102,External Attack,Web Server,Brute Force,6.36,2,10,6,2,5,0.25,4,1728491,100.0,High,1순위
RISK-0103,Credential Compromise,Web Server,DDoS,3.14,4,7,3,3,10,0.79,9,2201445,100.0,High,1순위
RISK-0104,Data Leakage,Endpoint PC,Vulnerability Exploitation,5.09,1,5,2,10,3,0.65,1,965683,67.95,Medium,2순위
RISK-0105,Insider Threat,Web Server,Phishing,9.08,3,8,5,2,7,0.85,5,1654761,100.0,High,1순위
RISK-0106,Credential Compromise,Endpoint PC,Data Exfiltration,2.49,10,10,1,9,6,0.1,5,2343889,100.0,High,1순위
RISK-0107,Service Disruption,Database Server,Vulnerability Exploitation,4.1,9,10,9,1,1,0.59,5,2853916,100.0,High,1순위
RISK-0108,Malware Infection,VPN Server,Data Exfiltration,7.56,10,4,7,5,4,0.56,8,1975859,100.0,High,1순위
RISK-0109,Service Disruption,Database Server,Vulnerability Exploitation,2.29,5,2,3,1,6,0.08,9,1874431,96.57,High,1순위
RISK-0110,Insider Threat,Database Server,C2 Communication,0.77,6,3,4,5,6,0.51,3,2130709,77.28,High,1순위
RISK-0111,Data Leakage,Database Server,Data Exfiltration,2.9,3,8,6,8,3,0.6,9,1908088,90.39,High,1순위
RISK-0112,Credential Compromise,Database Server,Vulnerability Exploitation,1.61,5,7,3,8,6,0.22,8,2335432,100.0,High,1순위
RISK-0113,Data Leakage,File Server,Data Exfiltration,9.3,8,2,7,8,10,0.3,3,2041352,100.0,High,1순위
RISK-0114,Insider Threat,Web Server,Phishing,8.08,6,6,6,2,6,0.63,2,2527784,100.0,High,1순위
RISK-0115,Service Disruption,VPN Server,Data Exfiltration,6.33,4,9,9,8,9,0.47,4,1821548,100.0,High,1순위
RISK-0116,Credential Compromise,VPN Server,DDoS,8.71,2,4,5,5,9,0.82,2,2209717,100.0,High,1순위
RISK-0117,Malware Infection,Cloud Service,Data Exfiltration,8.04,9,9,4,1,2,0.36,4,2224199,100.0,High,1순위
RISK-0118,External Attack,Database Server,Vulnerability Exploitation,1.87,1,2,3,7,4,0.29,5,752395,36.53,Low,3순위
RISK-0119,Data Leakage,VPN Server,Data Exfiltration,8.93,1,2,10,6,9,0.94,2,1367243,93.69,High,1순위
RISK-0120,Insider Threat,Endpoint PC,C2 Communication,5.39,4,9,1,5,4,0.87,8,2233155,100.0,High,1순위
RISK-0121,Credential Compromise,VPN Server,Brute Force,8.07,7,7,3,1,8,0.08,1,2026641,100.0,High,1순위
RISK-0122,Service Disruption,Database Server,Phishing,8.96,1,7,3,1,10,0.74,3,1927207,100.0,High,1순위
RISK-0123,Malware Infection,VPN Server,DDoS,3.18,9,1,7,6,3,0.15,7,1620586,67.87,Medium,2순위
RISK-0124,Service Disruption,Web Server,Vulnerability Exploitation,1.1,4,6,7,10,3,0.07,10,1701835,52.9,Medium,2순위
RISK-0125,Malware Infection,Database Server,Data Exfiltration,2.28,3,7,1,7,9,0.3,1,2099335,100.0,High,1순위
RISK-0126,Credential Compromise,File Server,Data Exfiltration,4.27,1,6,3,10,10,0.29,2,1497064,79.32,High,1순위
RISK-0127,External Attack,Web Server,Data Exfiltration,8.18,10,6,8,10,8,0.79,3,2700563,100.0,High,1순위
RISK-0128,External Attack,VPN Server,Phishing,8.61,4,2,9,1,1,0.69,2,2330228,88.52,High,1순위
RISK-0129,Insider Threat,File Server,DDoS,0.07,9,6,7,9,10,0.93,2,1899416,100.0,High,1순위
RISK-0130,Insider Threat,Cloud Service,Brute Force,5.11,10,4,7,4,2,0.69,6,2360951,100.0,High,1순위
RISK-0131,Malware Infection,Web Server,C2 Communication,4.17,6,9,8,5,3,0.43,7,2639877,100.0,High,1순위
RISK-0132,Malware Infection,Cloud Service,DDoS,2.22,6,1,6,2,2,0.68,6,1272220,68.56,Medium,2순위
RISK-0133,Malware Infection,Endpoint PC,C2 Communication,1.2,1,8,3,10,3,0.95,6,1652553,67.6,Medium,2순위
RISK-0134,Malware Infection,Web Server,DDoS,3.38,10,5,1,8,8,0.69,9,2721009,100.0,High,1순위
RISK-0135,Credential Compromise,File Server,Vulnerability Exploitation,9.43,2,1,7,2,6,0.74,8,1635615,100.0,High,1순위
RISK-0136,Credential Compromise,Cloud Service,Brute Force,3.23,6,4,1,3,7,0.89,8,2067403,100.0,High,1순위
RISK-0137,External Attack,Endpoint PC,Brute Force,5.19,2,1,1,9,10,0.15,6,1592723,86.37,High,1순위
RISK-0138,Insider Threat,Cloud Service,Phishing,7.03,3,6,9,2,10,0.68,5,1547741,100.0,High,1순위
RISK-0139,Insider Threat,VPN Server,DDoS,3.64,4,2,10,6,6,0.82,9,1584686,79.76,High,1순위
RISK-0140,Data Leakage,Database Server,Data Exfiltration,9.72,5,5,7,4,1,0.91,2,2363048,100.0,High,1순위
RISK-0141,Insider Threat,Cloud Service,Brute Force,9.62,9,7,4,7,3,0.24,7,2785512,100.0,High,1순위
RISK-0142,Insider Threat,VPN Server,DDoS,2.52,4,2,6,6,1,0.5,6,1228751,41.44,Medium,2순위
RISK-0143,Service Disruption,Database Server,Data Exfiltration,4.97,9,6,1,10,10,0.66,7,2873831,100.0,High,1순위
RISK-0144,Service Disruption,Database Server,Phishing,3.01,10,6,7,9,9,0.27,4,2610548,100.0,High,1순위
RISK-0145,Data Leakage,File Server,DDoS,2.85,3,5,6,9,9,0.59,9,3010723,98.29,High,1순위
RISK-0146,Malware Infection,Endpoint PC,DDoS,0.37,8,5,4,10,5,0.28,7,2149356,68.01,Medium,2순위
RISK-0147,Data Leakage,Endpoint PC,Vulnerability Exploitation,6.1,1,3,7,4,4,0.35,2,1202825,72.26,High,1순위
RISK-0148,Data Leakage,Web Server,DDoS,5.03,9,10,3,1,9,0.45,4,3083088,100.0,High,1순위
RISK-0149,External Attack,VPN Server,Vulnerability Exploitation,0.51,9,10,1,2,9,0.53,5,2423606,100.0,High,1순위
RISK-0150,Credential Compromise,File Server,Data Exfiltration,2.79,10,2,4,8,3,0.45,2,2126140,73.92,High,1순위
RISK-0151,Insider Threat,Cloud Service,Data Exfiltration,9.08,2,7,3,10,5,0.49,10,1952209,100.0,High,1순위
RISK-0152,External Attack,VPN Server,Brute Force,2.4,4,1,1,8,3,0.32,8,1457232,63.63,Medium,2순위
RISK-0153,Credential Compromise,Cloud Service,Phishing,1.45,8,6,2,2,10,0.19,1,1496919,100.0,High,1순위
RISK-0154,Insider Threat,Cloud Service,Vulnerability Exploitation,4.89,7,6,5,4,2,0.09,3,1508558,89.4,High,1순위
RISK-0155,Data Leakage,Cloud Service,Brute Force,9.86,1,3,8,1,1,0.23,1,1443805,69.56,Medium,2순위
RISK-0156,Insider Threat,Web Server,C2 Communication,2.42,5,2,1,7,10,0.57,5,2733493,100.0,High,1순위
RISK-0157,Malware Infection,Web Server,Brute Force,6.72,7,2,4,4,2,0.76,8,2174236,100.0,High,1순위
RISK-0158,Malware Infection,File Server,Data Exfiltration,7.62,4,9,4,8,8,0.2,7,1743038,100.0,High,1순위
RISK-0159,Data Leakage,Web Server,C2 Communication,2.38,1,5,5,9,8,0.15,9,1449100,67.95,Medium,2순위
RISK-0160,Service Disruption,File Server,Brute Force,7.28,9,7,7,9,3,0.72,2,2839489,100.0,High,1순위
RISK-0161,Malware Infection,Web Server,DDoS,3.68,5,5,8,3,7,0.32,8,1858173,100.0,High,1순위
RISK-0162,Data Leakage,Endpoint PC,Phishing,6.32,2,7,6,5,7,0.91,8,2508198,100.0,High,1순위
RISK-0163,External Attack,File Server,Vulnerability Exploitation,6.34,8,4,1,6,2,0.69,6,2797669,100.0,High,1순위
RISK-0164,Service Disruption,Endpoint PC,DDoS,5.36,2,8,7,6,9,0.34,3,2225072,100.0,High,1순위
RISK-0165,Malware Infection,Endpoint PC,C2 Communication,0.9,3,10,3,10,3,0.31,2,1493083,67.86,Medium,2순위
RISK-0166,Data Leakage,File Server,Phishing,8.35,10,10,6,8,2,0.52,8,2763358,100.0,High,1순위
RISK-0167,Data Leakage,VPN Server,Brute Force,3.21,1,7,8,6,3,0.12,6,1312139,48.45,Medium,2순위
RISK-0168,External Attack,Database Server,DDoS,1.87,2,10,7,6,2,0.16,4,1326288,44.06,Medium,2순위
RISK-0169,External Attack,Web Server,Data Exfiltration,0.41,7,5,10,4,8,0.21,5,2555236,80.05,High,1순위
RISK-0170,Service Disruption,Cloud Service,Data Exfiltration,5.91,10,6,6,7,5,0.75,5,2436786,100.0,High,1순위
RISK-0171,Credential Compromise,Web Server,Phishing,6.78,2,5,9,8,3,0.51,9,1859711,74.71,High,1순위
RISK-0172,Malware Infection,Cloud Service,Data Exfiltration,0.17,6,7,9,3,5,0.06,9,2920381,81.85,High,1순위
RISK-0173,Data Leakage,VPN Server,Vulnerability Exploitation,5.12,3,2,1,7,8,0.66,8,2642584,100.0,High,1순위
RISK-0174,Service Disruption,Database Server,Phishing,2.26,4,5,1,3,7,0.43,8,2175228,100.0,High,1순위
RISK-0175,Service Disruption,VPN Server,Phishing,6.45,8,10,1,8,6,0.51,2,1466143,100.0,High,1순위
RISK-0176,External Attack,Database Server,Data Exfiltration,1.74,3,3,8,1,1,0.24,3,747114,37.93,Low,3순위
RISK-0177,Data Leakage,File Server,Phishing,6.91,10,9,10,1,10,0.55,8,2918443,100.0,High,1순위
RISK-0178,Insider Threat,File Server,Brute Force,3.87,6,6,7,6,1,0.93,5,1742533,81.79,High,1순위
RISK-0179,Credential Compromise,Cloud Service,C2 Communication,9.37,1,10,3,10,1,0.12,7,1407907,100.0,High,1순위
RISK-0180,Credential Compromise,Endpoint PC,DDoS,1.38,7,3,2,9,10,0.31,8,2363509,100.0,High,1순위
RISK-0181,External Attack,Endpoint PC,C2 Communication,3.41,8,7,4,4,8,0.27,6,2923767,100.0,High,1순위
RISK-0182,Data Leakage,Cloud Service,DDoS,1.13,8,4,3,6,8,0.27,5,2850625,100.0,High,1순위
RISK-0183,Service Disruption,File Server,Data Exfiltration,9.25,3,3,7,5,7,0.39,8,1989469,100.0,High,1순위
RISK-0184,Credential Compromise,Cloud Service,Vulnerability Exploitation,8.77,10,8,10,1,6,0.79,1,2054042,100.0,High,1순위
RISK-0185,Service Disruption,Endpoint PC,Vulnerability Exploitation,2.58,1,4,8,6,4,0.87,1,723787,35.48,Low,3순위
RISK-0186,Malware Infection,Cloud Service,Data Exfiltration,6.6,9,1,6,9,1,0.23,1,1804001,65.72,Medium,2순위
RISK-0187,Insider Threat,File Server,Data Exfiltration,8.17,6,6,3,3,9,0.54,3,1371647,100.0,High,1순위
RISK-0188,External Attack,VPN Server,Phishing,5.55,9,10,6,3,1,0.62,10,2158003,100.0,High,1순위
RISK-0189,Credential Compromise,Web Server,Vulnerability Exploitation,5.3,7,1,2,2,4,0.52,6,2402878,100.0,High,1순위
RISK-0190,Malware Infection,File Server,C2 Communication,2.42,1,5,7,4,3,0.44,6,1581847,50.91,Medium,2순위
RISK-0191,Malware Infection,Cloud Service,Data Exfiltration,0.93,1,7,10,10,7,0.22,5,775521,30.56,Low,3순위
RISK-0192,Insider Threat,File Server,C2 Communication,8.97,6,6,7,3,5,0.49,7,2609572,100.0,High,1순위
RISK-0193,External Attack,File Server,DDoS,9.0,5,2,4,2,5,0.41,5,2851331,100.0,High,1순위
RISK-0194,External Attack,Endpoint PC,C2 Communication,6.33,9,4,8,1,4,0.77,2,1777042,100.0,High,1순위
RISK-0195,Service Disruption,Cloud Service,Vulnerability Exploitation,3.39,2,2,4,3,1,0.74,4,895725,47.98,Medium,2순위
RISK-0196,External Attack,Endpoint PC,DDoS,3.49,8,1,7,10,5,0.17,1,1421552,44.53,Medium,2순위
RISK-0197,Malware Infection,Cloud Service,C2 Communication,7.26,5,3,4,6,4,0.13,7,2815718,100.0,High,1순위
RISK-0198,Service Disruption,Endpoint PC,Phishing,8.97,2,3,5,9,10,0.87,4,1853284,100.0,High,1순위
RISK-0199,External Attack,Endpoint PC,Phishing,8.87,10,7,7,5,8,0.53,4,3204201,100.0,High,1순위
RISK-0200,Insider Threat,VPN Server,Vulnerability Exploitation,7.8,6,1,10,3,2,0.82,4,2410370,87.81,High,1순위
RISK-0201,Malware Infection,File Server,Phishing,6.42,10,9,3,5,8,0.1,3,2642343,100.0,High,1순위
RISK-0202,Data Leakage,VPN Server,Data Exfiltration,0.84,8,6,10,5,1,0.52,8,2147642,78.24,High,1순위
RISK-0203,Insider Threat,Endpoint PC,DDoS,1.62,4,4,5,5,4,0.54,4,1266128,67.06,Medium,2순위
RISK-0204,Insider Threat,VPN Server,Vulnerability Exploitation,8.99,2,3,3,7,3,0.82,8,2561081,100.0,High,1순위
RISK-0205,External Attack,File Server,DDoS,6.06,5,3,5,5,5,0.14,9,2154961,100.0,High,1순위
RISK-0206,Service Disruption,File Server,C2 Communication,0.09,2,2,3,7,5,0.27,1,418980,17.78,Low,3순위
RISK-0207,Service Disruption,Endpoint PC,Data Exfiltration,1.01,2,2,10,9,5,0.42,4,860628,20.6,Low,3순위
RISK-0208,Malware Infection,File Server,Vulnerability Exploitation,6.64,6,10,7,5,4,0.83,6,3024862,100.0,High,1순위
RISK-0209,External Attack,VPN Server,C2 Communication,0.05,10,5,1,2,8,0.89,8,2393704,100.0,High,1순위
RISK-0210,Service Disruption,Database Server,C2 Communication,1.61,9,9,9,5,3,0.94,6,3007814,100.0,High,1순위
RISK-0211,Credential Compromise,File Server,C2 Communication,5.49,4,2,9,8,4,0.91,6,1273485,71.53,High,1순위
RISK-0212,Data Leakage,VPN Server,C2 Communication,6.92,6,2,5,4,1,0.06,10,1975284,100.0,High,1순위
RISK-0213,Credential Compromise,VPN Server,C2 Communication,6.52,7,6,9,2,7,0.09,4,2380168,100.0,High,1순위
RISK-0214,External Attack,VPN Server,Vulnerability Exploitation,2.24,6,10,10,10,1,0.18,9,1953383,67.29,Medium,2순위
RISK-0215,External Attack,File Server,Phishing,7.12,8,2,6,3,2,0.36,7,1691369,100.0,High,1순위
RISK-0216,Service Disruption,Database Server,C2 Communication,2.37,4,4,5,9,7,0.8,6,1672737,83.5,High,1순위
RISK-0217,Insider Threat,Endpoint PC,Data Exfiltration,3.25,1,6,3,9,1,0.85,1,611172,40.84,Medium,2순위
RISK-0218,External Attack,Endpoint PC,Vulnerability Exploitation,7.46,7,5,8,8,3,0.22,2,2903506,100.0,High,1순위
RISK-0219,Insider Threat,File Server,Brute Force,6.5,3,1,4,8,6,0.61,6,2144398,96.01,High,1순위
RISK-0220,Malware Infection,File Server,Phishing,8.49,6,6,10,8,6,0.88,1,1877147,100.0,High,1순위
RISK-0221,Malware Infection,Web Server,Data Exfiltration,6.58,2,1,3,8,6,0.47,5,1247428,89.87,High,1순위
RISK-0222,Service Disruption,Cloud Service,C2 Communication,5.68,9,3,6,8,2,0.14,1,2367608,81.12,High,1순위
RISK-0223,Malware Infection,Database Server,Vulnerability Exploitation,0.94,1,10,8,1,2,0.46,3,1273724,59.69,Medium,2순위
RISK-0224,Credential Compromise,VPN Server,Vulnerability Exploitation,3.68,6,5,9,6,6,0.39,7,2941505,94.69,High,1순위
